rel_time_num,estimate,se,p_value,conf.low,conf.high
-42,0.007514903772369363,0.010553563243712151,0.47641978788992306,-0.013170080185306455,0.02819988773004518
-41,-0.001511719528278387,0.007419963221927625,0.8385591867003608,-0.016054847443256533,0.013031408386699757
-40,-0.019570575127802133,0.01244084551569227,0.11569787858844822,-0.04395463233855898,0.004813482082954717
-39,0.006394393138311785,0.0077804410783304315,0.4111595192309765,-0.00885527137521586,0.02164405765183943
-38,0.026680274367676192,0.008675737265010653,0.002103088312741207,0.009675829328255312,0.043684719407097075
-37,0.004358914993660314,0.025644837618255496,0.8650318302441448,-0.04590496673812046,0.05462279672544108
-36,-0.0027048785393904845,0.00993373246373756,0.7853973011641646,-0.0221749941683161,0.01676523708953513
-35,0.0027348871781467674,0.023327899393476098,0.9066724430765492,-0.042987795633066386,0.04845756998935992
-34,-6.237410898032843e-4,0.007579586022322365,0.9344143274087376,-0.015479729693555117,0.01423224751394855
-33,-0.010884986425543405,0.006144551297356204,0.07647992343955974,-0.022928306968361567,0.0011583341172747546
-32,0.0017922795389143822,0.0078024484249630535,0.8183192042914289,-0.013500519374013201,0.017085078451841967
-31,-2.828909335621368e-4,0.011703016473172451,0.9807150293617486,-0.023220803220980142,0.022655021353855866
-30,-0.004120093631158288,0.012401163869549125,0.7397122461802436,-0.02842637481547457,0.020186187553157996
-29,0.0037359161299567257,0.010940167592157088,0.73273760084514306,-0.017706812350671168,0.025178644610584618
-28,-0.002879631048741162,0.008580866519305456,0.7371819948997117,-0.019698129426579853,0.013938867329097531
-27,-0.013539739714294112,0.01600785923573157,0.39765413491627444,-0.04491514381632799,0.017835664387739765
-26,0.015216142305094688,0.0224612629755517,0.4981272694536008,-0.028807933126986644,0.05924021773717602
-25,-0.009971377788979427,0.0056702641606468,0.07865592804608149,-0.021085095543847153,0.0011423399658883008
-24,-0.005360195036447229,0.009828444361238703,0.5854951277696283,-0.024623945984475086,0.013903555911580628
-23,0.011212473447180283,0.00954517974810141,0.2401252082637602,-0.00749607885909848,0.029921025753459046
-22,0.005230115708671218,0.007970915382655515,0.5117276500112187,-0.010392878441333592,0.020853109858676028
-21,-0.004112384979758488,0.012334070266387652,0.7388197604671063,-0.02828716270187829,0.02006239274236131
-20,0.005066576854710304,0.013473197990439787,0.706880786963781,-0.02134089120655168,0.031474044915972284
-19,-0.01307981710058119,0.010201841976172792,0.1998063483530055,-0.03307542737387986,0.006915793172717483
-18,0.003069171818745435,0.007020365657884442,0.661979949415407,-0.01069074487070807,0.01682908850819894
-17,-0.0026823494652490915,0.011477766807331912,0.8152182014564565,-0.02517877240761964,0.019814073477121455
-16,-0.004296941143411041,0.008820738510476128,0.626158592536638,-0.021585588623944253,0.01299170633712217
-15,0.009186957893123062,0.01327995260021425,0.4890682959829791,-0.01684174920329687,0.03521566498954299
-14,0.0031148480547877567,0.009289364474276392,0.737388713399046,-0.015092306314793972,0.021322002424369487
-13,-0.0075829629790677595,0.005730688165903852,0.1857621232986294,-0.018815111784239308,0.0036491858261037888
-12,0.0016538279122644095,0.011352650179066401,0.8841758301706919,-0.020597366438705737,0.023905022263234557
-11,0.009663989237452689,0.00824525918025639,0.24117049625850248,-0.006496718755849834,0.025824697230755214
-10,0.010694591427572649,0.011083566202802812,0.33459226213430276,-0.011029198329920864,0.03241838118506616
-9,-0.0012358880122708901,0.011456138120859051,0.9140908938551932,-0.02368991872915463,0.02121814270461285
-8,0.008691182806475935,0.003491907578430821,0.012812104068015749,0.0018470439527515266,0.015535321660200344
-7,-0.0012712599988673173,0.020975437998891507,0.95167213676459,-0.042383118476694674,0.039840598478960036
-6,-0.012909946971334121,0.008983020659659651,0.1506754136045111,-0.03051666746426704,0.004696773521598795
-5,0.006236759112470151,0.006460499732661558,0.33436056945191883,-0.006425820363546502,0.018899338588486803
-4,-0.004419519038471025,0.015203374420043167,0.771285898411862,-0.034218132901755634,0.025379094824813583
-3,-0.012077000719269499,0.013725044116007544,0.37890028486942134,-0.038978087186644285,0.014824085748105287
-2,-0.010560591861367456,0.01488627174097193,0.4780650069115791,-0.03973768447367244,0.01861650075093752
-1,0.001098444471050783,0.014345880813186634,0.9389667135783041,-0.027019481922795022,0.029216370864896587
0,0.009816460408463911,0.019196692326942842,0.609097546303454,-0.02780905655234406,0.04744197736927189
1,0.0035096769853419072,0.025688097423244988,0.8913259630131165,-0.04683899396421826,0.05385834793490208
2,-0.004748736364656173,0.013677384905259589,0.7284439089972811,-0.03155641077896497,0.02205893804965262
3,0.012310942523238371,0.027593608551120072,0.6554874821648751,-0.04177253023695697,0.0663944152834337
4,0.015321821778110326,0.01702960273098952,0.3682709148280264,-0.01805619957462913,0.04869984313084978
5,0.016138499659196927,0.015810050456596697,0.3073611892434452,-0.0148491992357326,0.047126198554126454
6,0.0057654226016191894,0.01016924468643522,0.570750201759552,-0.014166296983793842,0.025697142187032222
7,0.02102561448535028,0.006602736777903992,0.0014506508467569074,0.008084250400658455,0.033966978570042106
8,0.008677557976469415,0.007885915237006035,0.2711635751800448,-0.006778835888062414,0.02413395184100124
9,0.07566151202404012,NA,NA,NA,NA
10,0.07279116924284709,NA,NA,NA,NA
